codigo,descricao,fonte,qtd_palavras,qtd_caracteres,qtd_palavras_longas,qtd_sinais_morfologicos,tem_sigla,tem_abreviacao,qtd_termos_decs,score,complexidade
A044,Outras infecções intestinais por escherichia coli,CID-10,6,49,0,0,0,0,2,0.168,media
A045,Enterite por Campylobacter,CID-10,3,26,1,1,0,0,1,0.119,media
A046,Enterite devida a Yersinia enterocolítica,CID-10,5,41,1,1,0,0,2,0.201,alta
A047,Enterocolite devida a Clostridium Difficile,CID-10,5,43,1,1,0,0,1,0.129,media
A048,Outras infecções bacterianas intestinais especificadas,CID-10,5,54,1,0,0,0,1,0.092,baixa
A049,Infecção intestinal bacteriana não especificada,CID-10,5,47,1,0,0,0,1,0.092,baixa
A050,Intoxicação alimentar estafilocócica,CID-10,3,36,1,0,0,0,1,0.082,baixa
A051,Botulismo,CID-10,1,9,0,0,0,0,1,0.071,baixa
A052,Intoxicação alimentar devida a Clostridium Perfringens [Clostridium Welchii],CID-10,8,76,0,0,0,0,1,0.107,media
A053,Intoxicação alimentar devida a Vibrio Parahemolyticus,CID-10,6,53,1,1,0,0,2,0.206,alta
A054,Intoxicação alimentar devida a Bacillus Cereus,CID-10,6,46,0,0,0,0,1,0.097,baixa
A058,Outras intoxicações alimentares bacterianas especificadas,CID-10,5,57,2,0,0,0,1,0.092,baixa
A059,Intoxicação alimentar bacteriana não especificada,CID-10,5,49,1,0,0,0,1,0.092,baixa
A060,Disenteria amebiana aguda,CID-10,3,25,0,0,0,0,1,0.082,baixa
A061,Amebíase intestinal crônica,CID-10,3,27,0,0,0,0,1,0.082,baixa
A062,Colite amebiana não-disentérica,CID-10,4,31,0,1,0,0,1,0.124,media
A063,Ameboma intestinal,CID-10,2,18,0,1,0,0,1,0.114,media
A064,Abscesso amebiano do fígado,CID-10,4,27,0,0,0,0,2,0.158,media
A065,Abscesso amebiano do pulmão,CID-10,4,27,0,0,0,0,2,0.158,media
A066,Abscesso amebiano do cérebro,CID-10,4,28,0,0,0,0,2,0.158,media
A067,Amebíase cutânea,CID-10,2,16,0,0,0,0,1,0.077,baixa
A068,Infecção amebiana de outras localizações,CID-10,5,40,1,0,0,0,1,0.092,baixa
A069,Amebíase não especificada,CID-10,3,25,1,0,0,0,1,0.082,baixa
A070,Balantidíase,CID-10,1,12,1,0,0,0,1,0.071,baixa
A071,Giardíase [lamblíase],CID-10,2,21,0,0,0,0,1,0.077,baixa
A072,Criptosporidiose,CID-10,1,16,1,1,0,0,1,0.109,media
A073,Isosporíase,CID-10,1,11,0,0,0,0,1,0.071,baixa
A078,Outras doenças intestinais especificadas por protozoários,CID-10,6,57,2,0,0,0,1,0.097,baixa
A079,Doença intestinal não especificada por protozoários,CID-10,6,51,2,0,0,0,1,0.097,baixa
A080,Enterite por rotavírus,CID-10,3,22,0,1,0,0,1,0.119,media
A081,Gastroenteropatia aguda pelo agente de Norwalk,CID-10,6,46,1,1,0,0,0,0.063,baixa
A082,Enterite por adenovírus,CID-10,3,23,0,1,0,0,1,0.119,media
A083,Outras enterites virais,CID-10,3,23,0,1,0,0,0,0.048,baixa
A084,Infecção intestinal devida a vírus não especificado,CID-10,7,51,1,0,0,0,2,0.174,alta
A085,Outras infecções intestinais especificadas,CID-10,4,42,1,0,0,0,1,0.087,baixa
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",CID-10,13,96,2,1,0,0,2,0.242,alta
A151,"Tuberculose pulmonar, com confirmação somente por cultura",CID-10,7,57,0,1,0,0,2,0.211,alta
A152,"Tuberculose pulmonar, com confirmação histológica",CID-10,5,49,0,1,0,0,1,0.129,media
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",CID-10,8,63,1,1,0,0,1,0.145,media
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",CID-10,9,85,2,1,0,0,2,0.221,alta
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",CID-10,13,97,1,1,0,0,2,0.242,alta
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",CID-10,7,65,1,0,0,0,0,0.031,baixa
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",CID-10,10,89,2,1,0,0,1,0.155,media
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",CID-10,12,97,2,1,0,0,1,0.165,media
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",CID-10,11,97,3,1,0,0,1,0.16,media
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,CID-10,8,70,1,1,0,0,1,0.145,media
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",CID-10,9,75,1,1,0,0,2,0.221,alta
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",CID-10,9,77,1,1,0,0,1,0.15,media
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",CID-10,11,96,2,1,0,0,2,0.232,alta
A164,"Tuberculose da laringe, traquéia e brônquios, sem menção de confirm. bacteriológica ou histológica",CID-10,13,98,1,1,0,0,2,0.242,alta
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",CID-10,9,78,1,0,0,0,1,0.112,media
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,CID-10,10,89,2,0,0,0,0,0.046,baixa
A168,"Outras formas de tubercul. das vias respirat., sem menção de confirm. bacteriológica ou histológica",CID-10,14,99,1,0,0,0,0,0.067,baixa
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",CID-10,11,99,3,1,0,0,1,0.16,media
A170,Meningite tuberculosa,CID-10,2,21,0,1,0,0,1,0.114,media
A171,Tuberculoma meníngeo,CID-10,2,20,0,1,0,0,1,0.114,media
A178,Outras tuberculoses do sistema nervoso,CID-10,5,38,1,1,0,0,0,0.058,baixa
A179,Tuberculose não especificada do sistema nervoso,CID-10,6,47,1,1,0,0,1,0.135,media
A180,Tuberculose óssea e das articulações,CID-10,5,36,1,1,0,0,2,0.201,alta
A181,Tuberculose do aparelho geniturinário,CID-10,4,37,1,1,0,0,1,0.124,media
A182,Linfadenopatia tuberculosa periférica,CID-10,3,37,1,1,0,0,1,0.119,media
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",CID-10,9,66,1,1,0,0,3,0.293,alta
A184,Tuberculose de pele e do tecido celular subcutâneo,CID-10,8,50,0,1,0,0,3,0.288,alta
A185,Tuberculose do olho,CID-10,3,19,0,1,0,0,2,0.191,alta
A186,Tuberculose do ouvido,CID-10,3,21,0,1,0,0,2,0.191,alta
A187,Tuberculose das supra-renais,CID-10,4,28,0,1,0,0,1,0.124,media
A188,Tuberculose de outros órgãos especificados,CID-10,5,42,1,1,0,0,1,0.129,media
A190,Tuberculose miliar aguda de localização única e especificada,CID-10,8,60,1,1,0,0,2,0.216,alta
A191,Tuberculose miliar aguda de múltiplas localizações,CID-10,6,50,1,1,0,0,1,0.135,media
A192,Tuberculose miliar aguda não especificada,CID-10,5,41,1,1,0,0,1,0.129,media
A198,Outras tuberculoses miliares,CID-10,3,28,1,1,0,0,0,0.048,baixa
A199,Tuberculose miliar não especificada,CID-10,4,35,1,1,0,0,1,0.124,media
A200,Peste bubônica,CID-10,2,14,0,0,0,0,1,0.077,baixa
A201,Peste celulocutânea,CID-10,2,19,1,0,0,0,1,0.077,baixa
A202,Peste pneumônica,CID-10,2,16,0,0,0,0,1,0.077,baixa
A203,Peste meníngea,CID-10,2,14,0,0,0,0,1,0.077,baixa
A207,Peste septicêmica,CID-10,2,17,0,0,0,0,1,0.077,baixa
A208,Outras formas de peste,CID-10,4,22,0,0,0,0,1,0.087,baixa
A209,"Peste, forma não especificada",CID-10,4,29,1,0,0,0,0,0.015,baixa
A210,Tularemia ulceroglandular,CID-10,2,25,1,1,0,0,1,0.114,media
A211,Tularemia oculoglandular,CID-10,2,24,1,1,0,0,1,0.114,media
A212,Tularemia pulmonar,CID-10,2,18,0,1,0,0,1,0.114,media
A213,Tularemia gastrointestinal,CID-10,2,26,1,2,0,0,1,0.152,media
A217,Tularemia generalizada,CID-10,2,22,1,1,0,0,1,0.114,media
A218,Outras formas de tularemia,CID-10,4,26,0,1,0,0,1,0.124,media
A219,"Tularemia, forma não especificada",CID-10,4,33,1,1,0,0,0,0.053,baixa
A220,Carbúnculo cutâneo,CID-10,2,18,0,0,0,0,1,0.077,baixa
A221,Carbúnculo pulmonar,CID-10,2,19,0,0,0,0,1,0.077,baixa
A222,Carbúnculo gastrointestinal,CID-10,2,27,1,1,0,0,1,0.114,media
A227,Septicemia carbunculosa,CID-10,2,23,1,1,0,0,1,0.114,media
A228,Outras formas de carbúnculo,CID-10,4,27,0,0,0,0,1,0.087,baixa
A229,"Carbúnculo, forma não especificada",CID-10,4,34,1,0,0,0,0,0.015,baixa
A230,Brucelose por Brucella Melitensis,CID-10,4,33,0,2,0,0,2,0.233,alta
A231,Brucelose por Brucella Abortus,CID-10,4,30,0,1,0,0,2,0.196,alta
A232,Brucelose por Brucella Suis,CID-10,4,27,0,1,0,0,2,0.196,alta
A233,Brucelose por Brucella Canis,CID-10,4,28,0,1,0,0,2,0.196,alta
A238,Outras bruceloses,CID-10,2,17,0,1,0,0,0,0.043,baixa
A239,Brucelose não especificada,CID-10,3,26,1,1,0,0,1,0.119,media
A240,Mormo,CID-10,1,5,0,0,0,0,1,0.071,baixa
A241,Melioidose aguda e fulminante,CID-10,4,29,0,1,0,0,1,0.124,media
A242,Melioidose subaguda e crônica,CID-10,4,29,0,1,0,0,1,0.124,media
A243,Outras melioidoses,CID-10,2,18,0,1,0,0,0,0.043,baixa
A244,Melioidose não especificada,CID-10,3,27,1,1,0,0,1,0.119,media
A250,Espirilose,CID-10,1,10,0,1,0,0,1,0.109,media
A251,Estreptobacilose,CID-10,1,16,1,1,0,0,1,0.109,media
A259,"Febre transmitida por mordedura de rato, tipo não especificado",CID-10,9,62,1,0,0,0,2,0.184,alta
A260,Erisipelóide cutâneo,CID-10,2,20,1,0,0,0,1,0.077,baixa
A267,Septicemia por Erysipelothrix,CID-10,3,29,1,1,0,0,1,0.119,media
A268,Outras formas de erisipelóide,CID-10,4,29,1,0,0,0,1,0.087,baixa
A269,Erisipelóide não especificado,CID-10,3,29,2,0,0,0,1,0.082,baixa
A270,Leptopirose icterohemorrágica,CID-10,2,29,1,2,0,0,0,0.08,baixa
A278,Outras formas de leptospirose,CID-10,4,29,1,1,0,0,1,0.124,media
A279,Leptospirose não especificada,CID-10,3,29,2,1,0,0,1,0.119,media
A280,Pasteurelose,CID-10,1,12,1,1,0,0,1,0.109,media
A281,Doença por arranhadura do gato,CID-10,5,30,0,0,0,0,1,0.092,baixa
A282,Yersiniose extra-intestinal,CID-10,3,27,0,1,0,0,1,0.119,media
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,CID-10,10,84,2,0,0,0,1,0.118,media
A289,Doença bacteriana zoonótica não especificada,CID-10,5,44,1,0,0,0,1,0.092,baixa
A300,Hanseníase [lepra] indeterminada,CID-10,3,32,1,0,0,0,1,0.082,baixa
A301,Hanseníase [lepra] tuberculóide,CID-10,3,31,1,0,0,0,1,0.082,baixa
A302,Hanseníase [lepra] tuberculóide borderline,CID-10,4,42,1,0,0,0,1,0.087,baixa
A303,Hanseníase [lepra] dimorfa,CID-10,3,26,0,0,0,0,1,0.082,baixa
A304,Hanseníase [lepra] lepromatosa borderline,CID-10,4,41,0,1,0,0,1,0.124,media
A305,Hanseníase [lepra] lepromatosa,CID-10,3,30,0,1,0,0,1,0.119,media
A308,Outras formas de hanseníase [lepra],CID-10,5,35,0,0,0,0,1,0.092,baixa
A309,Hanseníase [lepra] não especificada,CID-10,4,35,1,0,0,0,1,0.087,baixa
A310,Infecção pulmonar micobacteriana,CID-10,3,32,1,0,0,0,1,0.082,baixa
A311,Infecção cutânea micobacteriana,CID-10,3,31,1,0,0,0,1,0.082,baixa
A318,Outras infecções micobacterianas,CID-10,3,32,1,0,0,0,1,0.082,baixa
A319,Infecção micobacteriana não especificada,CID-10,4,40,2,0,0,0,1,0.087,baixa
A320,Listeriose cutânea,CID-10,2,18,0,1,0,0,1,0.114,media
A321,Meningite e meningoencefalite por listéria,CID-10,5,42,1,2,0,0,3,0.31,alta
A327,Septicemia listeriótica,CID-10,2,23,1,1,0,0,1,0.114,media
A328,Outras formas de listeriose,CID-10,4,27,0,1,0,0,1,0.124,media
A329,Listeriose não especificada,CID-10,3,27,1,1,0,0,1,0.119,media
A360,Difteria faríngea,CID-10,2,17,0,0,0,0,1,0.077,baixa
A361,Difteria nasofaríngea,CID-10,2,21,1,0,0,0,1,0.077,baixa
A362,Difteria laríngea,CID-10,2,17,0,0,0,0,1,0.077,baixa
A363,Difteria cutânea,CID-10,2,16,0,0,0,0,1,0.077,baixa
A368,Outras formas de difteria,CID-10,4,25,0,0,0,0,1,0.087,baixa
A369,Difteria não especificada,CID-10,3,25,1,0,0,0,1,0.082,baixa
A370,Coqueluche por Bordetella Pertussis,CID-10,4,35,0,0,0,0,3,0.23,alta
A371,Coqueluche por Bordetella Parapertussis,CID-10,4,39,1,0,0,0,2,0.158,media
A378,Coqueluche por outras espécies da Bordetella,CID-10,6,44,0,0,0,0,2,0.168,media
A379,Coqueluche não especificada,CID-10,3,27,1,0,0,0,1,0.082,baixa
A390,Meningite meningocócica,CID-10,2,23,1,1,0,0,1,0.114,media
A391,Síndrome de Waterhouse-Friderichsen,CID-10,4,35,1,0,0,0,1,0.087,baixa
A392,Meningococcemia aguda,CID-10,2,21,1,1,0,0,0,0.043,baixa
A393,Meningococcemia crônica,CID-10,2,23,1,1,0,0,0,0.043,baixa
A394,Meningococcemia não especificada,CID-10,3,32,2,1,0,0,0,0.048,baixa
A395,Cardite por meningococos,CID-10,3,24,1,1,0,0,1,0.119,media
A398,Outras infecções por meningococos,CID-10,4,33,1,0,0,0,1,0.087,baixa
A399,Infecção meningocócica não especificada,CID-10,4,39,2,0,0,0,1,0.087,baixa
A400,Septicemia por Streptococcus do grupo A,CID-10,6,39,1,1,0,0,1,0.135,media
A401,Septicemia por Streptococcus do grupo B,CID-10,6,39,1,1,0,0,1,0.135,media
A402,Septicemia por Streptococcus do grupo D,CID-10,6,39,1,1,0,0,1,0.135,media
A403,Septicemia por Streptococcus pneumonia,CID-10,4,38,1,2,0,0,2,0.233,alta
A408,Outras septicemias estreptocócicas,CID-10,3,34,1,1,0,0,0,0.048,baixa
A409,Septicemia estreptocócica não especificada,CID-10,4,42,2,1,0,0,1,0.124,media
A410,Septicemia por staphylococcus aureus,CID-10,4,36,1,1,0,0,1,0.124,media
A411,Septicemia por outros estafilococos especificados,CID-10,5,49,2,1,0,0,1,0.129,media
A412,Septicemia por estafilococos não especificados,CID-10,5,46,2,1,0,0,1,0.129,media
A413,Septicemia por Haemophilus Influenzae,CID-10,4,37,0,1,0,0,1,0.124,media
A414,Septicemia por anaeróbios,CID-10,3,25,0,1,0,0,1,0.119,media
A415,Septicemia por outros microorganismos gram-negativos,CID-10,6,52,1,1,0,0,1,0.135,media
A418,Outras septicemias especificadas,CID-10,3,32,1,1,0,0,0,0.048,baixa
A419,Septicemia não especificada,CID-10,3,27,1,1,0,0,1,0.119,media
A420,Actinomicose pulmonar,CID-10,2,21,1,1,0,0,1,0.114,media
A421,Actinomicose abdominal,CID-10,2,22,1,1,0,0,1,0.114,media
A422,Actinomicose cervicofacial,CID-10,2,26,2,1,0,0,1,0.114,media
A427,Septicemia actinomicótica,CID-10,2,25,1,1,0,0,1,0.114,media
A428,Outras formas de actinomicose,CID-10,4,29,1,1,0,0,1,0.124,media
A429,Actinomicose não especificada,CID-10,3,29,2,1,0,0,1,0.119,media
A430,Nocardiose pulmonar,CID-10,2,19,0,1,0,0,1,0.114,media
A431,Nocardiose cutânea,CID-10,2,18,0,1,0,0,1,0.114,media
A438,Outras formas de nocardiose,CID-10,4,27,0,1,0,0,1,0.124,media
A439,Nocardiose não especificada,CID-10,3,27,1,1,0,0,1,0.119,media
A440,Bartonelose sistêmica,CID-10,2,21,0,1,0,0,1,0.114,media
A441,Bartonelose cutânea e cutâneo-mucosa,CID-10,5,36,0,1,0,0,1,0.129,media
A448,Outras formas de bartonelose,CID-10,4,28,0,1,0,0,1,0.124,media
A449,Bartonelose não especificada,CID-10,3,28,1,1,0,0,1,0.119,media
A480,Gangrena gasosa,CID-10,2,15,0,0,0,0,1,0.077,baixa
A481,Doença dos legionários,CID-10,3,22,0,0,0,0,1,0.082,baixa
A482,Doença dos legionários não-pneumônica [febre de Pontiac],CID-10,8,56,0,0,0,0,1,0.107,media
A483,Síndrome do choque tóxico,CID-10,4,25,0,0,0,0,1,0.087,baixa
A484,Febre purpúrica do brasil,CID-10,4,25,0,0,0,0,1,0.087,baixa
A488,Outras doenças bacterianas especificadas,CID-10,4,40,1,0,0,0,1,0.087,baixa
A490,Infecção estafilocócica de localização não especificada,CID-10,6,55,2,0,0,0,2,0.168,media
A491,Infecção estreptocócica de localização não especificada,CID-10,6,55,2,0,0,0,2,0.168,media
A492,Infecção por Haemophilus influenzae de localização não especificada,CID-10,8,67,1,0,0,0,2,0.179,alta
A493,Infecção por Mycoplasma de localização não especificada,CID-10,7,55,1,0,0,0,3,0.245,alta
A498,Outras infecções bacterianas de localização não especificada,CID-10,7,60,1,0,0,0,2,0.174,alta
A499,Infecção bacteriana não especificada,CID-10,4,36,1,0,0,0,1,0.087,baixa
A500,Sífilis congênita precoce sintomática,CID-10,4,37,0,0,0,0,1,0.087,baixa
A501,"Sífilis congênita precoce, forma latente",CID-10,5,40,0,0,0,0,1,0.092,baixa
A502,Sífilis congênita precoce não especificada,CID-10,5,42,1,0,0,0,1,0.092,baixa
A503,Oculopatia sifilítica congênita tardia,CID-10,4,38,0,1,0,0,0,0.053,baixa
A504,Neurossífilis congênita tardia [neurossífilis juvenil],CID-10,5,54,2,2,0,0,1,0.167,media
A505,Outras formas tardias e sintomáticas da sífilis congênita,CID-10,8,57,1,0,0,0,1,0.107,media
A506,Sífilis congênita tardia latente,CID-10,4,32,0,0,0,0,1,0.087,baixa
A507,Sífilis congênita tardia não especificada,CID-10,5,41,1,0,0,0,1,0.092,baixa
A509,Sífilis congênita não especificada,CID-10,4,34,1,0,0,0,1,0.087,baixa
A510,Sífilis genital primária,CID-10,3,24,0,0,0,0,1,0.082,baixa
A511,Sífilis anal primária,CID-10,3,21,0,0,0,0,1,0.082,baixa
A512,Sífilis primária de outras localizações,CID-10,5,39,1,0,0,0,1,0.092,baixa
A513,Sífilis secundária da pele e das mucosas,CID-10,7,40,0,0,0,0,2,0.174,alta
A514,Outras formas de sífilis secundária,CID-10,5,35,0,0,0,0,1,0.092,baixa
A515,Sífilis precoce latente,CID-10,3,23,0,0,0,0,1,0.082,baixa
A519,Sífilis precoce não especificada,CID-10,4,32,1,0,0,0,1,0.087,baixa
A520,Sífilis cardiovascular,CID-10,2,22,1,1,0,0,1,0.114,media
A521,Neurossífilis sintomática,CID-10,2,25,1,1,0,0,1,0.114,media
A522,Neurossífilis assintomática,CID-10,2,27,2,1,0,0,1,0.114,media
A523,Neurossífilis não especificada,CID-10,3,30,2,1,0,0,1,0.119,media
A527,Outras formas de sífilis tardia sintomática,CID-10,6,43,0,0,0,0,1,0.097,baixa
A528,Sífilis tardia latente,CID-10,3,22,0,0,0,0,1,0.082,baixa
A529,Sífilis tardia não especificada,CID-10,4,31,1,0,0,0,1,0.087,baixa
A530,"Sífilis latente, não especificada se recente ou tardia",CID-10,8,54,1,0,0,0,1,0.107,media
A539,Sífilis não especificada,CID-10,3,24,1,0,0,0,1,0.082,baixa
A540,"Infecção gonocócica do trato genitur. inferior, sem abscesso periuretral ou das glândulas acessórias",CID-10,13,100,0,0,0,0,2,0.204,alta
A541,"Infecção gonocócica do trato genitur. inferior, com abscesso periuretral ou das glândulas acessórias",CID-10,13,100,0,0,0,0,2,0.204,alta
A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas,CID-10,7,72,2,1,0,0,1,0.14,media
A543,Infecção gonocócica do olho,CID-10,4,27,0,0,0,0,2,0.158,media
A544,Infecção gonocócica do sistema músculo-esquelético,CID-10,6,50,0,0,0,0,1,0.097,baixa
A545,Faringite gonocócica,CID-10,2,20,0,1,0,0,1,0.114,media
A546,Infecção gonocócica do ânus ou do reto,CID-10,7,38,0,0,0,0,3,0.245,alta
A548,Outras infecções gonocócicas,CID-10,3,28,0,0,0,0,1,0.082,baixa
A549,Infecção gonocócica não especificada,CID-10,4,36,1,0,0,0,1,0.087,baixa
A560,Infecções por clamídias do trato geniturinário inferior,CID-10,7,55,1,0,0,0,1,0.102,media
A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários",CID-10,9,73,2,0,0,0,1,0.112,media
A562,"Infecção por clamídias do trato geniturinário, localização não especificada",CID-10,9,75,2,0,0,0,2,0.184,alta
A563,Infecção do ânus e do reto por clamídias,CID-10,8,40,0,0,0,0,3,0.25,alta
A564,Infecção da faringe por clamídias,CID-10,5,33,0,0,0,0,2,0.163,media
A568,"Infecção por clamídias transmitida por via sexual, de outras localizações",CID-10,10,73,1,0,0,0,1,0.118,media
A590,Tricomoníase urogenital,CID-10,2,23,1,0,0,0,1,0.077,baixa
A598,Outras localizações de tricomoníase,CID-10,4,35,2,0,0,0,1,0.087,baixa
A599,Tricomoníase não especificada,CID-10,3,29,2,0,0,0,1,0.082,baixa
A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes,CID-10,12,74,1,0,0,0,3,0.271,alta
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes,CID-10,13,65,0,0,0,0,4,0.347,alta
A609,Infecção anogenital não especificada pelo vírus do herpes,CID-10,8,57,1,0,0,0,2,0.179,alta
A630,Verrugas anogenitais (venéreas),CID-10,3,31,0,0,0,0,0,0.01,baixa
A638,Outras doenças especificadas de transmissão predominantemente sexual,CID-10,7,68,2,0,0,0,1,0.102,media
A660,Lesões iniciais da bouba,CID-10,4,24,0,0,0,0,2,0.158,media
A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba),CID-10,9,58,0,1,0,0,1,0.15,media
A662,Outras lesões cutâneas precoces da bouba,CID-10,6,40,0,0,0,0,2,0.168,media
A663,Hiperceratose devida a bouba,CID-10,4,28,1,1,0,0,1,0.124,media
A664,Gomas e úlceras devidas à bouba,CID-10,6,31,0,1,0,0,1,0.135,media
A665,Gangosa,CID-10,1,7,0,0,0,0,0,0.0,baixa
A666,Lesões osteoarticulares devidas à bouba,CID-10,5,39,1,1,0,0,2,0.201,alta
A667,Outras manifestações da bouba,CID-10,4,29,1,0,0,0,1,0.087,baixa
A668,Bouba latente,CID-10,2,13,0,0,0,0,1,0.077,baixa
A669,Bouba não especificada,CID-10,3,22,1,0,0,0,1,0.082,baixa
A670,Lesões primárias da pinta,CID-10,4,25,0,0,0,0,2,0.158,media
A671,Lesões intermediárias da pinta,CID-10,4,30,1,0,0,0,2,0.158,media
A672,Lesões tardias da pinta,CID-10,4,23,0,0,0,0,2,0.158,media
A673,Lesões mistas da pinta,CID-10,4,22,0,0,0,0,2,0.158,media
A679,Pinta não especificada,CID-10,3,22,1,0,0,0,1,0.082,baixa
A680,Febre recorrente transmitida por piolhos,CID-10,5,40,0,0,0,0,2,0.163,media
A681,Febre recorrente transmitida por carrapatos,CID-10,5,43,0,0,0,0,2,0.163,media
A689,Febre recorrente não especificada,CID-10,4,33,1,0,0,0,2,0.158,media
A690,Estomatite ulcerativa necrotizante,CID-10,3,34,1,1,0,0,1,0.119,media
A691,Outras infecções de vincent,CID-10,4,27,0,0,0,0,1,0.087,baixa
A692,Doença de Lyme,CID-10,3,14,0,0,0,0,1,0.082,baixa
A698,Outras infecções especificadas por espiroquetas,CID-10,5,47,2,0,0,0,1,0.092,baixa
A699,"Infecção por espiroqueta, não especificada",CID-10,5,42,1,0,0,0,1,0.092,baixa
A710,Fase inicial do tracoma,CID-10,4,23,0,1,0,0,1,0.124,media
A711,Fase ativa do tracoma,CID-10,4,21,0,1,0,0,1,0.124,media
A719,Tracoma não especificado,CID-10,3,24,1,1,0,0,1,0.119,media
A740,Conjuntivite causada por clamídias,CID-10,4,34,1,1,0,0,1,0.124,media
A748,Outras doenças causadas por clamídias,CID-10,5,37,0,0,0,0,1,0.092,baixa
A749,Infecção causada por clamídias não especificada,CID-10,6,47,1,0,0,0,1,0.097,baixa
A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia Prowazekii,CID-10,9,69,0,0,0,0,2,0.184,alta
A751,Tifo recrudescente [doença de Brill],CID-10,5,36,1,0,0,0,1,0.092,baixa
A752,Tifo por Rickettsia Typhi,CID-10,4,25,0,0,0,0,2,0.158,media
A753,Tifo por Rickettsia Tsutsugamuchi,CID-10,4,33,1,0,0,0,2,0.158,media
A759,Tifo não especificado,CID-10,3,21,1,0,0,0,1,0.082,baixa
A770,Febre maculosa por Rickettsia Richettsii,CID-10,5,40,0,0,0,0,2,0.163,media
A771,Febre maculosa por Rickettsia Conorii,CID-10,5,37,0,0,0,0,2,0.163,media
A772,Febre maculosa devida à Rickettsia Siberica,CID-10,6,43,0,0,0,0,2,0.168,media
A773,Febre maculosa devida à Rickettsia Australis,CID-10,6,44,0,0,0,0,2,0.168,media
A778,Outras febres maculosas,CID-10,3,23,0,0,0,0,0,0.01,baixa
A779,Febre maculosa não especificada,CID-10,4,31,1,0,0,0,1,0.087,baixa
